weight,error
1,1.162350506103261
11,0.7351100722871206
21,0.72449075584773
31,0.7222753804193147
41,0.7214670457625272
51,0.7210847576471304
61,0.7208743278929286
71,0.7207463006549037
81,0.7206626640398014
91,0.7206050398100761
101,0.720563661933251
111,0.7205329515296651
121,0.7205095338378904
131,0.7204912702323739
141,0.7204767521838124
151,0.7204650213851456
161,0.7204554074902503
171,0.720447430194031
181,0.7204407380661964
191,0.7204350691785407
201,0.7204302250830413
211,0.7204260532069433
221,0.7204224346913127
231,0.7204192758311542
241,0.7204165019477754
251,0.7204140529344987
261,0.7204118799731232
271,0.720409943082255
281,0.7204082092650593
291,0.7204066510946472
