Young's Modulus (Pa),Difference (m)
1000000.0,0.08924658153927384
2000000.0,0.07774381010553327
3000000.0,0.06890016152953073
4000000.0,0.06137416603712483
5000000.0,0.05483699810557932
6000000.0,0.049097733071344435
7000000.0,0.04404354800563411
8000000.0,0.03960332825937151
9000000.0,0.03566739458382866
10000000.0,0.03219570221962604
11000000.0,0.029100948450240388
12000000.0,0.026357857520016053
13000000.0,0.023918968375147905
14000000.0,0.02174357176984985
15000000.0,0.019795360420858568
16000000.0,0.01804831274470673
17000000.0,0.016445387317538057
18000000.0,0.015029447316129253
19000000.0,0.013749345624438953
20000000.0,0.012558082615041679
21000000.0,0.01150780388412843
22000000.0,0.010522195966658833
23000000.0,0.00965698821229466
24000000.0,0.008841415440788003
25000000.0,0.00813277350535443
26000000.0,0.007464335778300794
27000000.0,0.006890956637178361
28000000.0,0.006352700843745706
29000000.0,0.005903940038139302
30000000.0,0.005491338193054409
31000000.0,0.005163633424055333
32000000.0,0.004875273123237706
33000000.0,0.004666926744062411
34000000.0,0.004509224679093432
35100000.0,0.004421292722385298
35200000.0,0.004412143534867179
35300000.0,0.004409026486333382
35400000.0,0.004406514143666328
35500000.0,0.004404625431589286
35600000.0,0.004403371087829746
35700000.0,0.004402727685733813
35800000.0,0.004402710436950881
35900000.0,0.004403319186430414
37000000.0,0.004445184479143399
38000000.0,0.004546868366227473
39000000.0,0.004688775806914309
40000000.0,0.00488318113319176
41000000.0,0.005080656251115203
42000000.0,0.005314793043892245
43000000.0,0.0055287982652448865
44000000.0,0.005742294924390656
45000000.0,0.005981952869440426
46000000.0,0.006188506375624686
47000000.0,0.006420722734483918
48000000.0,0.006616967104232348
49000000.0,0.006807569122602433
50000000.0,0.007023950669275494
51000000.0,0.007203006196157075
52000000.0,0.00737661025584445
53000000.0,0.007576734448957901
54000000.0,0.007739218637434931
55000000.0,0.00789661054486844
56000000.0,0.008081471486446758
57000000.0,0.008228881798948998
58000000.0,0.008371753793551593
59000000.0,0.008542907811047305
60000000.0,0.0086767230377996
61000000.0,0.00880651062259049
62000000.0,0.008965484715184519
63000000.0,0.00908730200408308
64000000.0,0.009205539976918406
65000000.0,0.009353730609424491
66000000.0,0.009464846714004715
67000000.0,0.009572817501185365
68000000.0,0.009711494334323383
69000000.0,0.009813117024165603
70000000.0,0.009911973540741421
71000000.0,0.010008153247875557
72000000.0,0.010135481091720907
73000000.0,0.01022621071021566
74000000.0,0.010314577803172412
75000000.0,0.01040065130019067
76000000.0,0.010518191222207129
77000000.0,0.01059952524090143
78000000.0,0.010678826393451434
79000000.0,0.010756194703834585
80000000.0,0.010865465794026507
81000000.0,0.010938765323037686
82000000.0,0.011010338557502922
83000000.0,0.011080223800153052
84000000.0,0.011182405746901658
85000000.0,0.011248714026101699
86000000.0,0.011313506413564552
87000000.0,0.011376851932821647
88000000.0,0.011472938447076022
89000000.0,0.01153316724557977
90000000.0,0.011592089823898595
91000000.0,0.011649748289881415
92000000.0,0.011706176636595131
93000000.0,0.011795479226644166
94000000.0,0.011849220526347761
95000000.0,0.011901850318102921
96000000.0,0.01195340670408612
97000000.0,0.012003921757196603
98000000.0,0.012087479041179204
99000000.0,0.012135655801187998
