E,mean,gt_to_sim_mean,sim_to_gt_mean,gt_to_sim_rmse,sim_to_gt_rmse,gt_to_sim_max,sim_to_gt_max,num_gt,num_sim,screenshot
1000000.0,0.042262500862201326,0.06539336881951316,0.019131632904889496,0.0791835060086891,0.023737512948731297,0.1483637985652262,0.04547363064003824,1218,134,results_fitE_flying_carpet\fb_surface_E_1.00e+06.png
2000000.0,0.03735428423564496,0.057272775959076413,0.01743579251221352,0.07032129906159854,0.021962404792860536,0.13642679527879004,0.04444904024319067,1218,150,results_fitE_flying_carpet\fb_surface_E_2.00e+06.png
3000000.0,0.03380556363620103,0.051306026304886995,0.016305100967515078,0.06368335025863009,0.02069568597984785,0.12663580942075364,0.04299630849051719,1218,163,results_fitE_flying_carpet\fb_surface_E_3.00e+06.png
4000000.0,0.030874574260301654,0.046263399205443916,0.015485749315159393,0.05796608064082118,0.019740747533238776,0.11734221406364,0.04080146147718163,1218,177,results_fitE_flying_carpet\fb_surface_E_4.00e+06.png
5000000.0,0.02847753483607917,0.041717634818680065,0.015237434853478272,0.05267599237924367,0.01944918055877342,0.10940806617763067,0.039820126717904435,1218,193,results_fitE_flying_carpet\fb_surface_E_5.00e+06.png
6000000.0,0.026145198331017545,0.037622256006946776,0.014668140655088313,0.04784027851498299,0.018751818903141617,0.10215083054170052,0.03846571563699179,1218,206,results_fitE_flying_carpet\fb_surface_E_6.00e+06.png
7000000.0,0.02399682112183117,0.03389982477466423,0.014093817468998113,0.04335631299975213,0.01799885428426073,0.09346741322300509,0.03650041332411668,1218,219,results_fitE_flying_carpet\fb_surface_E_7.00e+06.png
8000000.0,0.022009174821989875,0.03048502641220059,0.01353332323177916,0.039155794925670374,0.017250272707882933,0.0875399956319171,0.03522043609014604,1218,232,results_fitE_flying_carpet\fb_surface_E_8.00e+06.png
9000000.0,0.020203556971852207,0.027331022516808436,0.013076091426895982,0.03517911845138652,0.016657308346871975,0.07951313469382867,0.03473259842232393,1218,247,results_fitE_flying_carpet\fb_surface_E_9.00e+06.png
10000000.0,0.0184958695371917,0.02451061291897588,0.012481126155407522,0.031598628255146824,0.01589201663337681,0.0727275000864337,0.0333981055362496,1218,259,results_fitE_flying_carpet\fb_surface_E_1.00e+07.png
11000000.0,0.01686266950749983,0.021806836625619132,0.01191850238938053,0.028031050292206837,0.01516950028319832,0.06682260332789405,0.03224915997699703,1218,271,results_fitE_flying_carpet\fb_surface_E_1.10e+07.png
12000000.0,0.015501006586053238,0.019459300806407533,0.011542712365698945,0.024939058330357557,0.014661295271281561,0.060417489745116605,0.03048677167594251,1218,286,results_fitE_flying_carpet\fb_surface_E_1.20e+07.png
13000000.0,0.014198768748427393,0.017257597316297866,0.011139940180556923,0.021945962599134828,0.01411495192556559,0.05405359037512571,0.029296604827289796,1218,301,results_fitE_flying_carpet\fb_surface_E_1.30e+07.png
14000000.0,0.01287532459645651,0.015356794183976664,0.010393855008936356,0.019360965630975318,0.013132164418218437,0.04801716645081108,0.02714820274039564,1218,310,results_fitE_flying_carpet\fb_surface_E_1.40e+07.png
