E,mean,gt_to_sim_mean,sim_to_gt_mean,gt_to_sim_rmse,sim_to_gt_rmse,gt_to_sim_max,sim_to_gt_max,num_gt,num_sim,screenshot
1000000.0,0.05232048253325471,0.08490247072250504,0.019738494344004393,0.10329643308824556,0.023976213887758797,0.20314266716072463,0.04698211061744253,1867,90,results_fitE_cantilever_fixedEnd\fb_surface_E_1.00e+06.png
2000000.0,0.0466960936528123,0.07494125110103227,0.018450936204592337,0.09273780593390184,0.02276523007533308,0.1889372661996497,0.044937925626127216,1867,104,results_fitE_cantilever_fixedEnd\fb_surface_E_2.00e+06.png
3000000.0,0.04267691761944118,0.06807045680399815,0.017283378434884214,0.08542030693476349,0.021413134880856825,0.17970754836956115,0.043897704532686904,1867,115,results_fitE_cantilever_fixedEnd\fb_surface_E_3.00e+06.png
4000000.0,0.03931492099075283,0.062168593675903015,0.016461248305602638,0.07892199499698979,0.020485254211365128,0.1698724374824666,0.042798389707885395,1867,125,results_fitE_cantilever_fixedEnd\fb_surface_E_4.00e+06.png
5000000.0,0.0364415177864741,0.057164187976641294,0.0157188475963069,0.07339453596227191,0.01964668969312246,0.16056781502088077,0.03994654337285239,1867,134,results_fitE_cantilever_fixedEnd\fb_surface_E_5.00e+06.png
6000000.0,0.033734145278917285,0.05247854473063559,0.01498974582719898,0.06800809789526782,0.018801484088131662,0.15291890171422515,0.039709226291053,1867,141,results_fitE_cantilever_fixedEnd\fb_surface_E_6.00e+06.png
7000000.0,0.031315007678603984,0.04861270120196281,0.01401731415524516,0.06370172235876635,0.01761298810146337,0.14659898561373372,0.039007562991015335,1867,147,results_fitE_cantilever_fixedEnd\fb_surface_E_7.00e+06.png
8000000.0,0.02905391246039229,0.04433986500273916,0.013767959918045419,0.05854769603844838,0.01736594875767699,0.13712354181022915,0.03759116407741488,1867,157,results_fitE_cantilever_fixedEnd\fb_surface_E_8.00e+06.png
9000000.0,0.026957899675149454,0.04081265402190164,0.013103145328397271,0.0543749110145343,0.01655012967219715,0.1311762868574338,0.035946969431935386,1867,164,results_fitE_cantilever_fixedEnd\fb_surface_E_9.00e+06.png
10000000.0,0.02506434109553407,0.03762810231201225,0.012500579879055885,0.050587003743948505,0.01581032233379352,0.12473417672747378,0.034422923926401075,1867,171,results_fitE_cantilever_fixedEnd\fb_surface_E_1.00e+07.png
11000000.0,0.023105986950079975,0.034041484714430005,0.012170489185729945,0.0459421521150302,0.015432189698172618,0.11575441882505963,0.0335946259999977,1867,180,results_fitE_cantilever_fixedEnd\fb_surface_E_1.10e+07.png
12000000.0,0.02141910914636845,0.03128234984528027,0.01155586844745663,0.04249757279154316,0.014667074541633558,0.10969075430061193,0.03240866567651856,1867,185,results_fitE_cantilever_fixedEnd\fb_surface_E_1.20e+07.png
13000000.0,0.019791153907045694,0.028196630377697558,0.01138567743639383,0.038383250890113206,0.014514405130752426,0.10213996026713505,0.03194726827322746,1867,195,results_fitE_cantilever_fixedEnd\fb_surface_E_1.30e+07.png
14000000.0,0.01832380445348929,0.025861694887157633,0.010785914019820948,0.03537772393196892,0.013757501572458688,0.09765241357626947,0.03123640409526032,1867,201,results_fitE_cantilever_fixedEnd\fb_surface_E_1.40e+07.png
15000000.0,0.01694904531783181,0.02330765758026607,0.01059043305539755,0.03176988638530331,0.013509804027323262,0.08772177341061159,0.02926211373267696,1867,211,results_fitE_cantilever_fixedEnd\fb_surface_E_1.50e+07.png
16000000.0,0.01565165871120574,0.02112406753053661,0.01017924989187487,0.02874342994803514,0.012993607894330204,0.084033417833152,0.028299736246795992,1867,219,results_fitE_cantilever_fixedEnd\fb_surface_E_1.60e+07.png
